player = sarah = happy = Tu#ne#t'es#jamais#demandé#si@les#robots#étaient#vivants#?
sarah = player = laugh = Ce#ne#serait#plus#des#robots@si#c'était#le#cas.
player = sarah = worry = Je#suis#serieuse.@Les#plantes#par#exemple,#c'est#vivant.
player = sarah = happy_var = Pourtant,#elles#sont#tellement@différentes#de#nous…
player = sarah = happy_var = Il#nous#est#impossible#d'imaginer@comment#elles#pensent.
player = sarah = happy = Mais#si#les#plantes#sont#vivantes,@alors#pourquoi#pas#les#pierres#?
sarah = player = laugh = Tu#mélanges#tout.@Ce#qui#est#vivant,#c'est#ce#qui#respire.
player = sarah = worry = Dans#ce#cas,#le#feu#est#vivant…
sarah = player = happy = Le#feu#ne#respire#pas,#Rebecca.#Il…
sarah = camille = fine = …
sarah = player = happy = Il#transforme#seulement#l'oxygène.
sarah = player = worry = Bon,#d'accords…#C'est#vrai#qu'il#en#a@en#quelque#sorte#besoin#pour#"vivre".
sarah = player = you_silly_var = Et#c'est#vrai#aussi#que#d'une#certaine#façon,@il#mange#et#il#se#reproduit.
sarah = player = happy = Mais#il#ne#pense#pas.@C'est#juste#du#feu.
player = sarah = worry = On#ne#peut#pas#savoir,#s'il#pense#ou#non.
player = sarah = happy = La#pensée#chez#les#animaux,@ça#n'est#qu'un#gros#réseaux#électrique.
sarah = player = wink = Et#organique#!@Elle#est#là,#la#différence.
player = sarah = laugh = Arrête#de#balancer#un#nouveau#terme#sans#le@définir#dès#que#tu#veux#justifier#ta#pensée.
player = sarah = happy = Les#organes,#c'est#des#machines#bien#faites.
player = sarah = happy = Mais#la#brique#de#base#est@la#même#pour#tout#:#l'atome.
player = sarah = laugh = D'accord,#on#est#bien#plus@complexe#que#des#pierres.
player = sarah = happy = Mais#peut-être#qu'elles#sont#une@forme#de#vie#primitive.
player = sarah = happy_var = Et#peut-être#que#la#planète#toute#entière@est#vivante#et#qu'on#paraît#primitif#à#ses#yeux.
sarah = player = worry = Tu#pars#trop#loin…
sarah = camille = you_silly_var = …
sarah = player = happy = Cela#dit,#ton#point#de#vue#est#intéressante.
sarah = player = happy_var = Même#si#je#n'y#crois#pas#trop…
player = sarah = laugh = Tant#mieux#!#On#s'ennuierait#si@on#pensait#de#la#même#façon.
